country_idx,safety_title,safety_url,created_at
32,"일본, 대마 유사 성분 함유 젤리 관련 안전공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=230&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2023-11-17
1,"그리스 대규모 시위(11.17.) 관련 신변안전 유의 당부","https://www.0404.go.kr/dev/newest_view.nmofa?id=231&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2023-11-15
33,"코로나19 관련 각국의 해외입국자에 대한 입국제한 조치 실시 국가(지역) (10.31.09:00)","https://www.0404.go.kr/dev/newest_view.nmofa?id=232&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2023-10-31
49,"필리핀 따가이따이 따알(TAAL) 화산 스모그 및 지진 활동 관련 안전공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=233&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2023-10-13
31,"가자지구발 대규모 로켓 공격과 침투 테러 공격 관련 긴급 안전 공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=234&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2023-10-07
33,"유대교 명절 기간 관련 재외국민 안전 공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=235&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2023-09-22
12,"(신변안전유의 당부) 모르는 사람의 과한 친절에 대한 주의 요망","https://www.0404.go.kr/dev/newest_view.nmofa?id=236&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2023-09-21
34,"항저우 아시안게임 방문안내자료 및 해외안전여행 가이드북","https://www.0404.go.kr/dev/newest_view.nmofa?id=237&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2023-09-19
미지정,"뎅기열 확산 관련 안전 공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=241&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2023-09-01
7,"덴마크내 코란 훼손 사건 관련 안전공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=242&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2023-08-21
