country_idx,safety_title,safety_url,created_at
34,"중북 접경 지역 여행 관련 안전공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=23119&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-17
34,"중국 144시간 무사증 환승 지역 확대","https://www.0404.go.kr/dev/newest_view.nmofa?id=23120&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-17
49,"뎅기열 확산 주의 공지2","https://www.0404.go.kr/dev/newest_view.nmofa?id=23394&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-17
17,"[7.16.(화) 학생 시위 지속에 따른 신변 안전 공지]","https://www.0404.go.kr/dev/newest_view.nmofa?id=188&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-17
미지정,"(모로코) [안전공지] 시위 발생 유의","https://www.0404.go.kr/dev/newest_view.nmofa?id=22888&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-16
49,"칸라온(Kanlaon) 화산 관련 안전공지(2)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23395&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-16
17,"[7.16.(화) 학생 시위 지속에 따른 신변 안전 공지]","https://www.0404.go.kr/dev/newest_view.nmofa?id=23252&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-16
미지정,"(중요)라트비아 정부의 벨라루스 등록 차량 입국 금지 실시","https://www.0404.go.kr/dev/newest_view.nmofa?id=23829&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-16
미지정,"(벨라루스) 출국 방법 안내(2024.7.16.기준)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23854&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-16
27,"(오만) 무스카트 지역 총격 사건 발생에 따른 주의 당부","https://www.0404.go.kr/dev/newest_view.nmofa?id=22979&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-16
4,"뉴질랜드 수상안전수칙","https://www.0404.go.kr/dev/newest_view.nmofa?id=23196&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-16
미지정,"가나 동부지역 뎅기열(Dengue Fever) 발병에 따른 주의 안내","https://www.0404.go.kr/dev/newest_view.nmofa?id=24190&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-15
31,"[이스라엘]중부지역 차량 테러 및 북부·남부 지역 긴장 심화","https://www.0404.go.kr/dev/newest_view.nmofa?id=23028&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-15
미지정,"(카메룬) 주거 안전을 위 한 권고사항","https://www.0404.go.kr/dev/newest_view.nmofa?id=22816&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-15
미지정,"아메바 감염 주의 안내","https://www.0404.go.kr/dev/newest_view.nmofa?id=23318&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-15
미지정,"테러 동향 및 신변안전 공지 (7.14.)","https://www.0404.go.kr/dev/newest_view.nmofa?id=22966&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-15
미지정,"홍해 해상안보 동향(7.14.)","https://www.0404.go.kr/dev/newest_view.nmofa?id=22968&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-15
15,"중고물품 거래사기 유의 안전 공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=23416&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-15
미지정,"중고거래 사기 유의 공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=23294&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-15
34,"산둥평안(치안소식지) 24년 2분기 발간","https://www.0404.go.kr/dev/newest_view.nmofa?id=23121&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-15
37,"서부 캐나다 산불 관련 안전 공지 (3)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23430&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-15
15,"최근 정치 행사장 총격 사건 관련 안전공지(7.15.)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23417&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-15
15,"(미국) 긴급 안전 공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=23418&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-15
미지정,"(나이지리아) 전국 대규모 시위 예정 관련","https://www.0404.go.kr/dev/newest_view.nmofa?id=24220&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-15
44,"파라과이 출입국시 동식물 등 반출 유의 안내","https://www.0404.go.kr/dev/newest_view.nmofa?id=189&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-15
27,"(오만) 혹서기 산악지역 및 사막 여행 자제","https://www.0404.go.kr/dev/newest_view.nmofa?id=22980&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-14
미지정,"[안전공지] 교통사고 유의 및 안전벨트 착용 당부","https://www.0404.go.kr/dev/newest_view.nmofa?id=23043&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-14
28,"(온두라스_전국) 아르마딜로 사냥 및 고기 섭취 금지","https://www.0404.go.kr/dev/newest_view.nmofa?id=23583&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-13
43,"단기 선교목적 방문에 대한 신변안전 유의 안내","https://www.0404.go.kr/dev/newest_view.nmofa?id=24093&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-12
미지정,"인도여행 히치하이킹 관련 안전공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=23319&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-12
미지정,"중고거래 사기 피해 관련 안전공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=24036&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-12
미지정,"[긴급공지] 최근 응에안/박장/박닌 주변 1급 전염병 발병사례 공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=23263&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-12
미지정,"루마니아 기상청, 주말(7.13(토)-7.14(일)) 폭염 경보 발령","https://www.0404.go.kr/dev/newest_view.nmofa?id=23840&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-12
